,ds,y,unique_id
132,2024-02-12 02:00:00,0.0,1
133,2024-02-12 03:00:00,0.0,1
134,2024-02-12 04:00:00,0.0,1
135,2024-02-12 05:00:00,0.0,1
136,2024-02-12 06:00:00,0.0,1
137,2024-02-12 07:00:00,0.0,1
138,2024-02-12 08:00:00,0.0,1
139,2024-02-12 09:00:00,4421.6,1
140,2024-02-12 10:00:00,10.4,1
141,2024-02-12 11:00:00,8.0,1
142,2024-02-12 12:00:00,8.0,1
143,2024-02-12 13:00:00,8.0,1
144,2024-02-12 14:00:00,1480.0,1
145,2024-02-12 15:00:00,78.4,1
146,2024-02-12 16:00:00,76.80000000000001,1
147,2024-02-12 17:00:00,60.8,1
148,2024-02-12 18:00:00,73.60000000000001,1
149,2024-02-12 19:00:00,78.4,1
150,2024-02-12 20:00:00,118.4,1
151,2024-02-12 21:00:00,9.6,1
152,2024-02-12 22:00:00,8.0,1
153,2024-02-12 23:00:00,8.0,1
154,2024-02-13 00:00:00,8.0,1
155,2024-02-13 01:00:00,0.0,1
156,2024-02-13 02:00:00,0.0,1
157,2024-02-13 03:00:00,0.0,1
158,2024-02-13 04:00:00,0.0,1
159,2024-02-13 05:00:00,0.0,1
160,2024-02-13 06:00:00,0.0,1
161,2024-02-13 07:00:00,0.0,1
162,2024-02-13 08:00:00,0.0,1
163,2024-02-13 09:00:00,4420.8,1
164,2024-02-13 10:00:00,8.8,1
165,2024-02-13 11:00:00,8.0,1
166,2024-02-13 12:00:00,8.0,1
167,2024-02-13 13:00:00,8.0,1
168,2024-02-13 14:00:00,1039.2,1
169,2024-02-13 15:00:00,119.2,1
170,2024-02-13 16:00:00,108.8,1
171,2024-02-13 17:00:00,65.60000000000001,1
172,2024-02-13 18:00:00,111.2,1
173,2024-02-13 19:00:00,115.2,1
174,2024-02-13 20:00:00,154.4,1
175,2024-02-13 21:00:00,8.0,1
176,2024-02-13 22:00:00,8.0,1
177,2024-02-13 23:00:00,8.0,1
178,2024-02-14 00:00:00,8.0,1
179,2024-02-14 01:00:00,0.0,1
180,2024-02-14 02:00:00,0.0,1
181,2024-02-14 03:00:00,0.0,1
182,2024-02-14 04:00:00,0.0,1
183,2024-02-14 05:00:00,0.0,1
184,2024-02-14 06:00:00,0.0,1
185,2024-02-14 07:00:00,0.0,1
186,2024-02-14 08:00:00,0.0,1
187,2024-02-14 09:00:00,4421.6,1
188,2024-02-14 10:00:00,8.0,1
189,2024-02-14 11:00:00,8.0,1
190,2024-02-14 12:00:00,8.0,1
191,2024-02-14 13:00:00,8.0,1
192,2024-02-14 14:00:00,620.0,1
193,2024-02-14 15:00:00,70.4,1
194,2024-02-14 16:00:00,106.4,1
195,2024-02-14 17:00:00,52.0,1
196,2024-02-14 18:00:00,108.0,1
197,2024-02-14 19:00:00,77.60000000000001,1
198,2024-02-14 20:00:00,153.60000000000002,1
199,2024-02-14 21:00:00,8.8,1
200,2024-02-14 22:00:00,8.0,1
201,2024-02-14 23:00:00,8.0,1
202,2024-02-15 00:00:00,8.0,1
203,2024-02-15 01:00:00,0.0,1
204,2024-02-15 02:00:00,0.0,1
205,2024-02-15 03:00:00,0.0,1
206,2024-02-15 04:00:00,0.0,1
207,2024-02-15 05:00:00,0.0,1
208,2024-02-15 06:00:00,0.0,1
209,2024-02-15 07:00:00,0.0,1
210,2024-02-15 08:00:00,0.0,1
211,2024-02-15 09:00:00,4424.8,1
212,2024-02-15 10:00:00,9.6,1
213,2024-02-15 11:00:00,8.8,1
214,2024-02-15 12:00:00,8.0,1
215,2024-02-15 13:00:00,8.0,1
216,2024-02-15 14:00:00,607.2,1
217,2024-02-15 15:00:00,98.4,1
218,2024-02-15 16:00:00,69.60000000000001,1
219,2024-02-15 17:00:00,60.0,1
220,2024-02-15 18:00:00,64.8,1
221,2024-02-15 19:00:00,71.2,1
222,2024-02-15 20:00:00,202.4,1
223,2024-02-15 21:00:00,8.0,1
224,2024-02-15 22:00:00,8.0,1
225,2024-02-15 23:00:00,8.0,1
226,2024-02-16 00:00:00,8.0,1
227,2024-02-16 01:00:00,0.0,1
228,2024-02-16 02:00:00,0.0,1
229,2024-02-16 03:00:00,0.0,1
230,2024-02-16 04:00:00,0.0,1
231,2024-02-16 05:00:00,0.0,1
232,2024-02-16 06:00:00,0.0,1
233,2024-02-16 07:00:00,0.0,1
234,2024-02-16 08:00:00,0.0,1
235,2024-02-16 09:00:00,4424.8,1
236,2024-02-16 10:00:00,9.6,1
237,2024-02-16 11:00:00,8.0,1
238,2024-02-16 12:00:00,8.0,1
239,2024-02-16 13:00:00,8.0,1
240,2024-02-16 14:00:00,727.2,1
241,2024-02-16 15:00:00,101.6,1
242,2024-02-16 16:00:00,69.60000000000001,1
243,2024-02-16 17:00:00,69.60000000000001,1
244,2024-02-16 18:00:00,75.2,1
245,2024-02-16 19:00:00,108.0,1
246,2024-02-16 20:00:00,196.8,1
247,2024-02-16 21:00:00,8.0,1
248,2024-02-16 22:00:00,8.0,1
249,2024-02-16 23:00:00,8.0,1
250,2024-02-17 00:00:00,8.0,1
251,2024-02-17 01:00:00,0.0,1
252,2024-02-17 02:00:00,0.0,1
253,2024-02-17 03:00:00,0.0,1
254,2024-02-17 04:00:00,0.0,1
255,2024-02-17 05:00:00,0.0,1
256,2024-02-17 06:00:00,0.0,1
257,2024-02-17 07:00:00,0.0,1
258,2024-02-17 08:00:00,0.0,1
259,2024-02-17 09:00:00,0.0,1
260,2024-02-17 10:00:00,0.0,1
261,2024-02-17 11:00:00,0.0,1
262,2024-02-17 12:00:00,0.0,1
263,2024-02-17 13:00:00,0.0,1
264,2024-02-17 14:00:00,0.0,1
265,2024-02-17 15:00:00,0.0,1
266,2024-02-17 16:00:00,0.0,1
267,2024-02-17 17:00:00,0.0,1
268,2024-02-17 18:00:00,0.0,1
269,2024-02-17 19:00:00,0.0,1
270,2024-02-17 20:00:00,0.0,1
271,2024-02-17 21:00:00,0.0,1
272,2024-02-17 22:00:00,0.0,1
273,2024-02-17 23:00:00,0.0,1
274,2024-02-18 00:00:00,0.0,1
275,2024-02-18 01:00:00,0.0,1
276,2024-02-18 02:00:00,0.0,1
277,2024-02-18 03:00:00,0.0,1
278,2024-02-18 04:00:00,0.0,1
279,2024-02-18 05:00:00,0.0,1
280,2024-02-18 06:00:00,0.0,1
281,2024-02-18 07:00:00,0.0,1
282,2024-02-18 08:00:00,0.0,1
283,2024-02-18 09:00:00,0.0,1
284,2024-02-18 10:00:00,0.0,1
285,2024-02-18 11:00:00,0.0,1
286,2024-02-18 12:00:00,0.0,1
287,2024-02-18 13:00:00,0.0,1
288,2024-02-18 14:00:00,0.0,1
289,2024-02-18 15:00:00,0.0,1
290,2024-02-18 16:00:00,0.0,1
291,2024-02-18 17:00:00,0.0,1
292,2024-02-18 18:00:00,0.0,1
293,2024-02-18 19:00:00,0.0,1
294,2024-02-18 20:00:00,0.0,1
295,2024-02-18 21:00:00,0.0,1
296,2024-02-18 22:00:00,0.0,1
297,2024-02-18 23:00:00,0.0,1
298,2024-02-19 00:00:00,0.0,1
299,2024-02-19 01:00:00,0.0,1
300,2024-02-19 02:00:00,0.0,1
301,2024-02-19 03:00:00,0.0,1
302,2024-02-19 04:00:00,0.0,1
303,2024-02-19 05:00:00,0.0,1
304,2024-02-19 06:00:00,0.0,1
305,2024-02-19 07:00:00,0.0,1
306,2024-02-19 08:00:00,0.0,1
307,2024-02-19 09:00:00,0.0,1
