sep=,
"Time","Aeqnitch__Aequitas_NEO_A","BATS_BYX_Feeds_A","BATS_BZX_Feeds_A","CBBO_Feeds__Best_Bid_Offer_A","CBOE__BATSEDGA_A","CBOE__BATS_EDGX_A","CDF_feeds_A","CSEMC_Feed__Canadian_Securities_Ex_A","Canadian_feeds_A","FINRA_tdds_A","IEX_Feeds__TOPS_and_DEEP_A","Intelligent_Cross_ASPEN_A","MEMX_Feeds_A","MIAX_Feeds_A","NASDAQ_Canadian_CXD_Purestream_A","NASDAQ_Canadian_Chix_A","NEW_CQS_Pillar_feeds_A","NYSE_AMEX_OpenBook_A","NYSE_ARCA_Pillar_A","NYSE_Chicago_A","NYSE_Imbalance_A","NYSE_National_A","NYSE_OpenBook_Ultra_A","Nasdaq_BX_Totalview_A","Nasdaq_Chix_feed_CXC_A","New_CTS_Pillard_Feeds_A","Omega_Feed_A","Omega_Lynx_feed_A","TSX_Feeds_A","TSX_Quantumfeed_A","TSX_Venture_QuantumFeed_A","Totalview_A","UTP_Feed_A"
1714737600000,6720000,15312000,118984000,13328000,12480000,73248000,36520000,3784000,37312000,5232000,9920000,1584000,45768000,512000,512000,2448000,281920000,24400000,57264000,6952000,40520000,8824000,32464000,34104000,1632000,28176000,1536000,528000,3168000,15288000,2640000,146784000,108664000
1714737610000,2880000,19480000,128248000,12752000,12168000,74880000,40648000,14144000,33792000,1440000,20688000,1584000,27496000,512000,512000,2064000,185136000,14288000,47672000,5464000,22856000,6912000,13344000,16384000,1008000,11040000,1536000,528000,3168000,8392000,2880000,116488000,121936000
1714737620000,2880000,13200000,118672000,17184000,14536000,64752000,48144000,3536000,127192000,2352000,11904000,1584000,44856000,512000,512000,1632000,158320000,22032000,70704000,5448000,21104000,13624000,45120000,12240000,2256000,19920000,768000,528000,0,76488000,6792000,95456000,84736000
1714737630000,1920000,21128000,136200000,4504000,7104000,65240000,31624000,3536000,33792000,1440000,13792000,1584000,45320000,512000,512000,2448000,252384000,15328000,71200000,6016000,5400000,9696000,3408000,24144000,1632000,25968000,768000,528000,,5280000,2664000,59088000,94200000
1714737640000,1920000,19264000,129904000,4464000,22048000,55456000,44576000,1768000,33792000,1440000,5856000,1584000,42256000,512000,512000,1632000,301280000,16048000,47000000,5320000,14624000,10864000,9232000,21360000,1632000,11616000,768000,528000,0,4480000,2824000,58552000,90872000
1714737650000,1784000,23776000,133768000,26832000,12928000,72256000,45024000,1768000,12736000,4320000,15872000,1584000,46808000,512000,512000,1224000,198416000,18960000,75472000,36296000,4904000,17048000,28800000,42336000,1632000,15696000,12000000,528000,,8776000,3728000,59040000,178680000
1714737660000,960000,14416000,143888000,4448000,12928000,63384000,10280000,3888000,30720000,1440000,31664000,1584000,44984000,512000,512000,816000,290320000,15872000,66704000,22688000,12464000,19736000,9840000,24312000,816000,23904000,768000,528000,2040000,13264000,1864000,69792000,180008000
1714737670000,960000,23080000,130928000,4472000,17056000,56968000,54376000,3208000,33792000,1440000,5952000,1584000,40264000,512000,512000,1440000,204512000,23520000,60496000,6824000,8144000,29896000,12304000,21496000,1440000,14976000,1440000,528000,2040000,10712000,960000,61504000,160624000
1714737680000,960000,27848000,106576000,11192000,14432000,72888000,34720000,3456000,12536000,1440000,4000000,1584000,57096000,512000,512000,2256000,331472000,23456000,64984000,5208000,23264000,22320000,13312000,34800000,1008000,29904000,768000,528000,3160000,4320000,960000,63160000,111984000
1714737690000,1784000,24080000,131416000,11184000,13472000,75896000,28032000,3208000,33792000,528000,29760000,1584000,50024000,512000,512000,2256000,347136000,15936000,67632000,5448000,5400000,31328000,15664000,21616000,2256000,7728000,768000,528000,0,10608000,1864000,91624000,70800000
1714737700000,960000,22944000,118240000,11184000,12512000,59136000,17144000,3208000,33792000,528000,12656000,1584000,26264000,512000,512000,816000,255072000,23632000,28872000,6952000,6480000,15904000,12864000,22816000,1248000,6624000,1440000,528000,,3624000,960000,79208000,85096000
1714737710000,960000,22320000,129152000,4448000,15416000,74424000,16768000,1768000,13632000,1440000,36752000,1584000,65632000,512000,512000,816000,313392000,22144000,66464000,5904000,5400000,16416000,19632000,25128000,1008000,44304000,768000,528000,0,5384000,960000,64392000,105352000
1714737720000,960000,109440000,137160000,4512000,114136000,74256000,10048000,3208000,33792000,1440000,11904000,1584000,40592000,512000,512000,2256000,528096000,18080000,111864000,6352000,34856000,7728000,50848000,25296000,512000,23184000,768000,528000,2040000,13264000,1864000,69992000,129504000
1714737730000,960000,20392000,139688000,11192000,9280000,71224000,46608000,3208000,34336000,1440000,6016000,1584000,29200000,512000,512000,1632000,329008000,15824000,53928000,6144000,21280000,12272000,18576000,20704000,2256000,11088000,768000,528000,0,14176000,5832000,53448000,87480000
1714737740000,1784000,14456000,132216000,4464000,10952000,80376000,36152000,4976000,16840000,3792000,7744000,1584000,46800000,512000,512000,816000,191344000,18736000,77856000,6824000,23440000,9264000,18256000,13024000,816000,17760000,768000,528000,,1920000,5760000,57496000,85024000
1714737750000,1784000,22064000,121256000,6600000,12128000,38736000,34312000,3208000,30720000,528000,6896000,1584000,45512000,512000,512000,816000,372896000,12976000,49496000,5448000,6480000,10752000,34208000,23736000,816000,19920000,768000,528000,,11056000,1600000,69432000,146936000
