sep=,
"Time","Aeqnitch__Aequitas_NEO_A","BATS_BYX_Feeds_A","BATS_BZX_Feeds_A","CBBO_Feeds__Best_Bid_Offer_A","CBOE__BATSEDGA_A","CBOE__BATS_EDGX_A","CDF_feeds_A","CQS_Pillar_feeds_A","CSEMC_Feed__Canadian_Securities_Ex_A","CTS_Pillard_Feeds_A","Canadian_feeds_A","FINRA_tdds_A","IEX_Feeds__TOPS_and_DEEP_A","Intelligent_Cross_ASPEN_A","MEMX_Feeds_A","MIAX_Feeds_A","NASDAQ_Canadian_CXD_Purestream_A","NASDAQ_Canadian_Chix_A","NEW_CQS_Pillar_feeds_A","NYSE_AMEX_OpenBook_A","NYSE_ARCA_Pillar_A","NYSE_Chicago_A","NYSE_Imbalance_A","NYSE_National_A","NYSE_OpenBook_Ultra_A","Nasdaq_BX_Totalview_A","Nasdaq_Chix_feed_CXC_A","New_CTS_Pillard_Feeds_A","Omega_Feed_A","Omega_Lynx_feed_A","TSX_Feeds_A","TSX_Quantumfeed_A","TSX_Venture_QuantumFeed_A","Totalview_A","UTP_Feed_A"
1707264000000,,1068,2451.2000000000003,2.4000000000000004,912.8000000000001,11213.6,86.4,19.200000000000003,52,20.8,3.2,8,,,966.4000000000001,384,8,8,36734.4,2688.8,10990.400000000001,5364.8,1456,5160.8,3.2,8,8,4063.2000000000003,2.4000000000000004,2.4000000000000004,2.4000000000000004,1.6,0.8,41412,5168
1707267600000,,240,307.20000000000005,2.4000000000000004,237.60000000000002,244,12.8,19.200000000000003,8,20.8,,411.20000000000005,,,8,384,,,38.400000000000006,3.2,112,48,16,48,3.2,,,6445.6,0,0,2.4000000000000004,,,8,96
1707271200000,,236,258.40000000000003,2.4000000000000004,236,235.20000000000002,12.8,19.200000000000003,,20.8,,,,,,384,,,19.200000000000003,,,,,,,,,19.200000000000003,,,2.4000000000000004,,,,96
1707274800000,,240.8,257.6,0.8,235.20000000000002,237.60000000000002,8,,,,,,,,,384,,,,,,,,,,,,,,,2.4000000000000004,,,,
1707278400000,,235.20000000000002,257.6,,234.4,235.20000000000002,,,,,,,,,,384,,,,,,,,,,,,,,,,,,,
1707282000000,,236,257.6,,236.8,236,3.2,19.200000000000003,12.8,20.8,4,,,,,,,,19.200000000000003,6956,6353.6,7813.6,8692,6692.8,6452.8,,,19.200000000000003,,,,2.4000000000000004,1.6,,
1707285600000,,235.20000000000002,256.8,,234.4,235.20000000000002,3.2,19.200000000000003,16,20.8,4,,,,,,,,88.80000000000001,3.2,112,48.800000000000004,16.8,48,6.4,,,119.2,,,,2.4000000000000004,1.6,,
1707289200000,,235.20000000000002,259.2,,235.20000000000002,507.20000000000005,11.200000000000001,19.200000000000003,16,20.8,4,,,,,,,,20,3.2,1757.6000000000001,48.800000000000004,16,48,4.800000000000001,,,92.80000000000001,,,,2.4000000000000004,1.6,,101.60000000000001
1707292800000,,235.20000000000002,255.20000000000002,,235.20000000000002,21475.2,99132.8,19.200000000000003,16,20.8,90498.40000000001,8,,,,,,,22666.4,3.2,61732.8,1828.8000000000002,1589.6000000000001,1735.2,4.800000000000001,24054.4,,5001.6,,,,88633.6,42305.600000000006,218985.6,16805.600000000002
1707296400000,,235.20000000000002,257.6,,235.20000000000002,51060,19474.4,19.200000000000003,3313.6000000000004,20.8,10505.6,8,,,,,4420,4428.8,10167.2,3.2,36012,48,16,48.800000000000004,4.800000000000001,8,4429.6,499.20000000000005,1.6,1.6,,2076.8,1498.4,24586.4,5747.200000000001
1707300000000,,508,937.6,,480,4761.6,57.6,19.200000000000003,16,20.8,69.60000000000001,8,,,1204.8,4606.400000000001,8.8,9.600000000000001,8432,3.2,8731.2,48,16.8,48,4.800000000000001,8,8.8,333.6,1.6,1.6,,20.8,4.800000000000001,10592.800000000001,3325.6000000000004
1707303600000,41113.600000000006,2345.6,2931.2000000000003,4420,2044,40689.600000000006,25911.2,19.200000000000003,834.4000000000001,20.8,4948,8,,1080,15748.800000000001,436.8,8,8,47490.4,4812.8,178970.40000000002,8004.8,6067.200000000001,8615.2,141433.6,4423.2,8,3013.6000000000004,1.6,1.6,2.4000000000000004,4729.6,2692.8,40101.600000000006,36535.200000000004
1707307200000,20932,1944.8000000000002,77504,1468,1171.2,83747.20000000001,23439.2,19.200000000000003,1341.6000000000001,20.8,16825.600000000002,32.800000000000004,1348.8000000000002,96,83185.6,436,8,609.6,22204,588.8000000000001,245323.2,776,760,1720.8000000000002,21679.2,9028.800000000001,16.8,24667.2,8768,8768,2.4000000000000004,14016,3212,18157.600000000002,28283.2
1707310800000,876.8000000000001,3939.2000000000003,10873.6,1304,3332,14267.2,2680.8,19.200000000000003,878.4000000000001,20.8,2232,92.80000000000001,4079.2000000000003,96,4557.6,384,8,645.6,27092,769.6,35421.6,1468.8000000000002,1093.6000000000001,2602.4,21822.4,8652.800000000001,492.8,6625.6,346.40000000000003,28.8,4,1688.8000000000002,1086.4,25752.800000000003,14072
1707314400000,108318.40000000001,108072.8,550481.6,137018.4,137974.4,433121.60000000003,404250.4,19.200000000000003,55186.4,20.8,355274.4,4342.400000000001,232256,70084,227061.6,119140,623.2,42416,856157.6000000001,46249.600000000006,841586.4,98428.8,12212,71772.8,360207.2,168556,61425.600000000006,112780,28050.4,3468,22639.2,225147.2,14726.400000000001,634135.2000000001,539552
1707318000000,104919.20000000001,102084.8,314923.2,159162.40000000002,93153.6,272793.60000000003,419308.80000000005,19.200000000000003,37585.6,20.8,186746.40000000002,320,198770.40000000002,76544,166078.40000000002,121287.20000000001,72.8,48024.8,1014698.4,33068,409920,90538.40000000001,17.6,41749.600000000006,211033.6,76936,50285.600000000006,34363.200000000004,26586.4,2956,1524.8000000000002,116300,922.4000000000001,479569.60000000003,468940
