sep=,
"Time","Aeqnitch__Aequitas_NEO_A","BATS_BYX_Feeds_A","BATS_BZX_Feeds_A","CBBO_Feeds__Best_Bid_Offer_A","CBOE__BATSEDGA_A","CBOE__BATS_EDGX_A","CDF_feeds_A","CSEMC_Feed__Canadian_Securities_Ex_A","Canadian_feeds_A","FINRA_tdds_A","IEX_Feeds__TOPS_and_DEEP_A","Intelligent_Cross_ASPEN_A","MEMX_Feeds_A","MIAX_Feeds_A","NASDAQ_Canadian_CXD_Purestream_A","NASDAQ_Canadian_Chix_A","NEW_CQS_Pillar_feeds_A","NYSE_AMEX_OpenBook_A","NYSE_ARCA_Pillar_A","NYSE_Chicago_A","NYSE_Imbalance_A","NYSE_National_A","NYSE_OpenBook_Ultra_A","Nasdaq_BX_Totalview_A","Nasdaq_Chix_feed_CXC_A","New_CTS_Pillard_Feeds_A","Omega_Feed_A","Omega_Lynx_feed_A","TSX_Feeds_A","TSX_Quantumfeed_A","TSX_Venture_QuantumFeed_A","Totalview_A","UTP_Feed_A"
1714737850000,9.600000000000001,1484.8000000000002,2820.8,12.8,1328,6650.400000000001,173.60000000000002,31.200000000000003,148,8,1074.4,96,2758.4,385.6,8,9.600000000000001,8945.6,479.20000000000005,9417.6,391.20000000000005,84.80000000000001,904.8000000000001,3632,1556,8,3242.4,4.800000000000001,1.6,0.8,79.2,8,5862.400000000001,10149.6
1714737860000,5.6000000000000005,1845.6000000000001,4170.400000000001,17.6,1200,4233.6,59.2,29.6,123.2,8,264.8,96,1579.2,384,8,8,10611.2,394.40000000000003,5857.6,448,84.80000000000001,286.40000000000003,2596,1740,8,3211.2000000000003,1.6,1.6,0,116,4.800000000000001,7278.400000000001,10696.800000000001
1714737870000,7.2,1426.4,2796.8,18.400000000000002,620,4489.6,47.2,37.6,95.2,10.4,185.60000000000002,96,1435.2,384,8,10.4,9477.6,298.40000000000003,5372,353.6,80.80000000000001,312,5685.6,1132,8,3397.6000000000004,3.2,1.6,,18.400000000000002,7.2,6410.400000000001,9421.6
1714737880000,5.6000000000000005,948,2122.4,20.8,592,3809.6000000000004,204,23.200000000000003,140,10.4,175.20000000000002,96,1347.2,384,8,9.600000000000001,6216.8,191.20000000000002,4654.400000000001,266.40000000000003,78.4,262.40000000000003,5159.200000000001,1084.8,8.8,3453.6000000000004,5.6000000000000005,1.6,,93.60000000000001,1.6,4380,8510.4
1714737890000,7.2,1136,2540,13.600000000000001,653.6,4804,78.4,24,178.4,56,167.20000000000002,96,1820.8000000000002,384,8,8.8,8260.800000000001,289.6,6168,357.6,240.8,280.8,8009.6,1136.8,8,3412,3.2,1.6,,138.4,31.200000000000003,5793.6,8726.4
1714737900000,10.4,990.4000000000001,2375.2000000000003,18.400000000000002,876.8000000000001,5116.8,180,25.6,152.8,8,58.400000000000006,96,1984.8000000000002,384,8,9.600000000000001,6593.6,337.6,7340,304,202.4,384,1969.6000000000001,888,7.2,2693.6000000000004,4,1.6,3.2,63.2,2.4000000000000004,4636,9902.400000000001
1714737910000,5.6000000000000005,1406.4,3456,14.4,506.40000000000003,3403.2000000000003,175.20000000000002,25.6,192,8,179.20000000000002,96,1576.8000000000002,384,8,8,9165.6,168.8,4860.8,311.20000000000005,310.40000000000003,285.6,3636,1418.4,8,234.4,3.2,1.6,0,120.80000000000001,5.6000000000000005,7133.6,5240
1714737920000,7.2,700.8000000000001,2524,8.8,461.6,2798.4,54.400000000000006,21.6,158.4,8,112.80000000000001,96,1320.8000000000002,384,8,12,4744.8,142.4,3696.8,260,292,264.8,6256.8,700,8,213.60000000000002,4,1.6,,151.20000000000002,9.600000000000001,3599.2000000000003,2991.2000000000003
1714737930000,6.4,889.6,1872,14.4,604,2370.4,44,26.400000000000002,93.60000000000001,8,100,96,1353.6000000000001,384,8,8.8,4882.400000000001,174.4,3756,308,151.20000000000002,156,2506.4,704.8000000000001,8,228,1.6,1.6,,16,8,3533.6000000000004,3634.4
1714737940000,4,784.8000000000001,1823.2,8,514.4,2824.8,60,41.6,97.60000000000001,13.600000000000001,78.4,96,1188,384,8,9.600000000000001,4548,148,3848,270.40000000000003,63.2,227.20000000000002,1980.8000000000002,633.6,8,220,3.2,1.6,,30.400000000000002,4.800000000000001,3004,2777.6000000000004
1714737950000,6.4,759.2,1766.4,21.6,480,3241.6000000000004,97.60000000000001,21.6,66.4,14.4,217.60000000000002,96,1732.8000000000002,384,8,12.8,5390.400000000001,184.8,5187.200000000001,331.20000000000005,55.2,224.8,2513.6000000000004,598.4,12,211.20000000000002,1.6,1.6,,43.2,8,4202.400000000001,2780.8
1714737960000,7.2,992.8000000000001,2536,16,555.2,3016,82.4,19.200000000000003,162.4,8,80,96,1672,384,8,9.600000000000001,6995.200000000001,216,4443.2,344.8,195.20000000000002,270.40000000000003,1572.8000000000002,969.6,8.8,215.20000000000002,1.6,1.6,2.4000000000000004,95.2,3.2,5256.8,3842.4
1714737970000,6.4,847.2,2407.2000000000003,16,488.8,2939.2000000000003,32.800000000000004,20.8,84.80000000000001,8,200,96,1317.6000000000001,384,8,9.600000000000001,6051.200000000001,142.4,4148.8,326.40000000000003,312,217.60000000000002,727.2,1069.6000000000001,8,200,6.4,1.6,0,13.600000000000001,4.800000000000001,4373.6,3796.8
1714737980000,4.800000000000001,796.8000000000001,2510.4,5.6000000000000005,503.20000000000005,2488,17.6,16.8,16,8,110.4,96,1400,384,8,8.8,5104.8,116,3914.4,256,143.20000000000002,201.60000000000002,1708.8000000000002,705.6,8,224,2.4000000000000004,1.6,,10.4,8.8,3572.8,3432.8
1714737990000,4,793.6,2216.8,16,524,2259.2000000000003,29.6,31.200000000000003,82.4,8,120,96,1308.8000000000002,384,8,10.4,5760,182.4,4517.6,380.8,73.60000000000001,296.8,864,748,8,212,2.4000000000000004,1.6,,5.6000000000000005,8,4564.8,3499.2000000000003
1714738000000,8,838.4000000000001,2162.4,16,663.2,3224,209.60000000000002,32,131.20000000000002,8,170.4,96,1614.4,384,8,8,6717.6,233.60000000000002,5387.200000000001,328.8,58.400000000000006,291.2,4819.2,919.2,8,228,2.4000000000000004,1.6,,72.8,4.800000000000001,3991.2000000000003,3568.8
1714738010000,5.6000000000000005,1233.6000000000001,2608.8,15.200000000000001,609.6,3828.8,195.20000000000002,18.400000000000002,269.6,8,128.8,96,1824,384,8,12.8,6408.8,187.20000000000002,5175.200000000001,291.2,48.800000000000004,313.6,5610.400000000001,1134.4,8.8,186.4,2.4000000000000004,1.6,,277.6,3.2,5489.6,4031.2000000000003
1714738020000,4,919.2,3132,13.600000000000001,633.6,3803.2000000000003,88,23.200000000000003,155.20000000000002,8,254.4,96,2017.6000000000001,384,8,8,8166.400000000001,164.8,5906.400000000001,359.20000000000005,53.6,292,1052.8,1012.8000000000001,8,236.8,2.4000000000000004,1.6,3.2,62.400000000000006,8.8,5654.400000000001,4368
