sep=,
"Time","Aeqnitch__Aequitas_NEO_A","BATS_BYX_Feeds_A","BATS_BZX_Feeds_A","CBBO_Feeds__Best_Bid_Offer_A","CBOE__BATSEDGA_A","CBOE__BATS_EDGX_A","CDF_feeds_A","CSEMC_Feed__Canadian_Securities_Ex_A","Canadian_feeds_A","FINRA_tdds_A","IEX_Feeds__TOPS_and_DEEP_A","Intelligent_Cross_ASPEN_A","MEMX_Feeds_A","MIAX_Feeds_A","NASDAQ_Canadian_CXD_Purestream_A","NASDAQ_Canadian_Chix_A","NEW_CQS_Pillar_feeds_A","NYSE_AMEX_OpenBook_A","NYSE_ARCA_Pillar_A","NYSE_Chicago_A","NYSE_Imbalance_A","NYSE_National_A","NYSE_OpenBook_Ultra_A","Nasdaq_BX_Totalview_A","Nasdaq_Chix_feed_CXC_A","New_CTS_Pillard_Feeds_A","Omega_Feed_A","Omega_Lynx_feed_A","TSX_Feeds_A","TSX_Quantumfeed_A","TSX_Venture_QuantumFeed_A","Totalview_A","UTP_Feed_A"
1714737600000,239368,165504,925136,796040,98128,860032,1390608,80320,1372744,23952,516048,6336,568000,24576,512,83232,4781168,106896,1517264,96656,146048,111808,688784,501552,11936,759024,38400,528,9288,248000,19464,3017376,3988920
1714737610000,58872,123952,536304,207080,62848,617256,722640,545096,153752,1440,61152,6336,319872,24576,512,53856,3256656,78880,865696,45064,68888,37096,58960,213992,4272,729456,7680,528,3168,50952,104472,1334672,2316136
1714737620000,47040,173672,609720,661792,127280,1112936,1714176,26560,427064,4320,63568,6336,404792,24576,512,17952,3924448,157664,1563712,58504,65648,136896,221216,144800,4512,183888,768,528,0,179408,21096,902376,1254248
1714737630000,18240,196032,564312,56976,59728,417848,288464,17720,125096,1440,99856,6336,249512,24576,512,11856,3159872,134752,1777552,96640,63488,67432,121712,235816,4400,169488,1536,528,,39520,4424,1947160,1241384
1714737640000,19200,151960,506432,30304,92992,674224,128128,4232,63752,2880,19744,6336,396152,24576,512,6528,2312800,124256,1374936,66264,41624,161704,78464,195736,2144,150192,2304,528,0,9064,8416,853624,1266072
1714737650000,1784,166736,700072,90768,134096,735432,210544,2792,54552,5760,201136,6336,425184,24576,512,2144,6900768,128224,1068376,338712,9152,130064,352912,4503712,2144,400544,768,528,,19792,5432,1684864,3658112
1714737660000,1472,209800,634416,11072,87656,644576,58584,13856,73824,1968,205248,6336,269288,24576,512,1328,3839248,154368,734456,139032,39960,88512,409168,2354864,4592,413584,44928,528,0,13264,1864,1089312,1371584
1714737670000,1472,143864,557512,19912,91888,907256,251816,11280,219584,1440,15872,6336,710176,24576,512,4400,1634624,92608,1884632,49336,17880,114080,499200,162624,3584,93984,2208,528,6120,53416,960,664960,899448
1714737680000,1816,207920,1190608,28976,145592,1029544,85752,18320,45160,3408,17408,6336,792880,24576,512,7392,5238688,162896,2122856,60464,68480,133656,302096,553600,1520,419520,768,528,3160,15040,960,1753944,1831488
1714737690000,2296,266496,898656,33408,107016,1273672,207768,5920,141272,528,1841248,6336,378832,24576,512,4128,6577920,123360,2071152,82800,10800,116312,938128,578760,7088,41472,1536,528,0,42584,2824,2377768,1879984
1714737700000,2608,144848,707240,17712,68792,567696,119216,6304,67208,528,114256,6336,344912,24576,512,2144,2290496,112448,694584,59400,17280,43240,1195232,199520,2576,50832,1536,528,,25640,960,960768,1072120
1714737710000,3056,153128,646240,4448,108472,853568,59632,4232,73896,1440,77536,6336,581856,24576,512,1760,3596944,100192,1121136,57064,11880,76176,1197888,216896,1008,111120,1536,528,0,26608,1656,1387720,1461024
1714737720000,1752,616192,1104568,18080,481632,1303256,45624,6680,93976,1968,31936,6336,785344,24576,512,2768,6641808,214928,2563808,51792,110664,78376,1269664,426072,512,491376,5376,528,,23416,3728,2131976,1646368
1714737730000,2712,113360,518704,66856,49216,724208,173144,6000,125168,2880,24752,6336,361440,24576,512,33456,3073264,59520,830176,57808,86112,46248,1664928,192352,2768,594144,1536,528,0,38264,5832,1024696,1838208
1714737740000,2296,145912,671504,10912,90544,999880,108264,10856,81600,6144,20688,6336,611264,24576,512,1328,2122944,109648,1583688,51080,80056,72984,1260464,220704,1952,700608,1296,528,,4480,17016,845120,2286472
1714737750000,2160,222864,697840,8800,79488,626216,71168,11424,58368,528,18704,6336,501304,24576,512,2144,4371856,76144,967552,74648,20040,61064,1296672,325200,1328,716544,1296,528,,26752,1920,1380392,1800384
1714737760000,6880,181000,574952,19912,93304,681608,99880,14864,55296,1440,38448,6336,456392,24576,512,1632,3411344,116288,1174360,56232,17792,73088,857328,234224,1328,629248,768,528,0,19568,3520,1054000,1961544
1714737770000,2160,189576,763304,10848,173168,750592,111144,21960,20336,1440,59520,6336,463392,24576,512,2960,2758432,141568,1422824,56632,14624,165736,1122736,232824,816,773904,1536,528,0,7200,1864,1061072,2158912
1714737780000,1744,261328,731344,26544,83168,501136,331888,10648,229232,1440,39200,6336,407560,24576,512,7200,2543152,94800,1019272,78976,48776,97104,1759344,318064,7712,479776,768,528,,80960,2824,1142448,2646864
1714737790000,5088,158680,715160,13160,85776,508344,390816,8368,318584,528,17248,6336,423056,24576,512,1440,2867936,91200,874936,61032,18360,80560,2000896,260944,4208,486192,528,528,0,137528,960,898688,1603432
1714737800000,1584,191112,714472,11056,168400,1086352,218952,7440,115576,1968,15808,6336,639424,24576,512,5760,3002000,181744,2068792,71632,16712,151840,1115280,130136,5456,489872,1296,528,0,41384,1864,586176,1462688
1714737810000,1688,428832,852880,15560,113688,739640,165688,14024,150192,5760,105424,6336,326752,24576,512,2688,4654448,179248,1563112,75160,45448,80328,2138496,405872,3392,509360,528,528,,39680,2824,1673128,2257232
1714737820000,1816,178760,777632,26584,193616,611888,161856,15544,93952,5760,59888,6336,232920,24576,512,1328,2222080,96128,761120,53808,42208,79968,1877472,249576,816,461392,768,528,0,41120,2560,696688,1661408
1714737830000,11968,246024,468536,8744,64320,575840,51600,10648,34576,528,89088,6336,467592,24576,512,1328,1865264,85184,709736,45048,45536,51720,921056,185920,2144,460576,768,528,,9864,6792,777832,1678800
1714737840000,1784,358624,602552,19400,256888,581296,134424,1024,96904,528,1078592,6336,317560,24576,512,1328,6093104,311744,2046552,73136,19952,397400,1005248,548184,1328,457184,1296,528,,32744,2640,1798584,2014888
1714737850000,3336,388344,615824,8856,324664,1117280,225192,13856,161888,528,581088,6336,730976,25968,512,1632,4580608,286256,1990056,67512,17360,336952,1174944,485880,1328,503920,1536,528,0,57400,7328,1397992,1777376
1714737860000,2160,449616,1118472,22240,476832,481880,262152,5672,189664,528,94192,6336,333720,24576,512,1632,5090320,231712,947672,64832,16200,61632,594064,423096,512,464480,768,528,0,69192,1656,1623992,2871672
1714737870000,3120,140456,544904,11032,79424,622960,53552,7440,56592,528,50800,6336,270000,24576,512,1632,2684656,83552,1035224,59736,20024,69856,1485760,187184,1328,512960,768,528,,8800,2720,939896,1715144
1714737880000,960,170984,523152,8856,98360,550808,158096,6000,101992,5760,43712,6336,306216,24576,512,2448,2075616,101408,794136,39504,14624,58168,1516720,227392,512,517232,1536,528,,27512,5832,1029568,1607480
1714737890000,960,263944,607320,10992,135464,1246840,194176,4232,139376,65952,66320,6336,560880,24576,512,1328,4619232,188800,1789656,61512,367760,90416,5317328,312168,1328,507616,1536,528,,49280,4688,1585376,1994480
1714737900000,4992,137600,880128,13072,267160,1236632,210056,10648,118504,1440,14832,6336,647240,24576,512,2144,2134176,184784,2045752,39688,52424,120144,616992,157968,1328,587440,1536,528,0,40480,27960,759000,2403136
1714737910000,1648,353944,859504,15520,57584,479664,417216,6000,220808,1440,99504,6336,259064,24576,512,1440,4758864,49296,984056,72376,88288,70104,1038304,384728,512,69552,1536,528,0,96400,1920,1742200,1568136
1714737920000,2096,84312,485656,8864,56680,394568,83056,5920,302088,1440,36464,6336,264264,24576,512,2144,1354048,61840,640712,41648,60744,56496,1229088,142192,512,48416,768,528,,106560,2640,950616,558392
1714737930000,2440,98288,498904,10944,62424,256160,36064,6000,58712,528,42880,6336,305000,24576,512,2960,1508640,49856,455072,42584,63080,28656,1299536,107160,512,77840,1440,528,,9456,6792,501024,666208
1714737940000,960,106296,426104,8488,62536,422632,42320,10648,56128,9168,30768,6336,252720,24576,512,2144,1528560,61616,836016,38584,12464,43584,663424,122832,512,65808,1440,528,,8952,6568,520376,602504
1714737950000,2160,105048,408032,15360,63048,491256,77344,3096,37520,14400,105152,6336,295872,24576,512,3888,1764544,65520,734232,80160,9152,50232,1638560,121040,3584,43680,768,528,,17344,5832,959784,596880
1714737960000,1648,109528,556536,10584,55216,427432,236472,4232,165832,528,25088,6336,302568,24576,512,2448,1919520,55520,651792,51736,52104,56456,479440,150480,1760,63744,528,528,,55560,960,695288,657080
1714737970000,1784,107016,562968,8592,64832,340512,28192,4232,58944,528,71008,6336,389616,24576,512,2448,1906912,56400,919000,65728,72624,30960,240720,219064,512,65216,1536,528,0,7696,1864,697464,801680
1714737980000,856,165280,514312,4472,85712,537392,15056,2792,13632,1440,30832,6336,317112,24576,512,1632,2100352,78656,777408,39424,36152,68472,695488,204320,512,56928,768,528,,4808,2664,857168,1251840
1714737990000,512,128160,447672,15432,82232,400056,28664,10648,58632,528,34576,6336,265808,24576,512,1440,1948656,87952,802592,73640,23192,67888,244112,124688,1328,38848,1296,528,,1864,1864,823816,845152
1714738000000,2440,153224,604312,13248,90808,674312,436936,6168,154920,528,45632,6336,411688,24576,512,2448,2649440,92336,1157248,44768,12464,101848,1848944,234248,512,45360,768,528,,37064,3784,894704,1020112
1714738010000,1648,189696,712664,8712,99168,772544,338776,2712,312520,1440,56960,6336,310248,24576,512,2064,3640832,66512,1047064,81216,12960,87168,2961488,228816,1328,36480,768,528,,109224,1704,1226672,1163328
1714738020000,1648,101272,667368,8800,82800,478904,87832,4232,107648,528,57440,6336,372648,24576,512,1632,2447648,42320,933648,55024,10800,47816,476368,126176,1760,55776,768,528,0,29224,7040,854624,882704
1714738030000,4856,232696,599496,4432,208704,519304,114104,6928,62984,528,957456,6336,580368,24576,512,2144,3878960,274064,1553120,50712,7560,295648,311600,405832,512,104304,768,528,0,19784,6424,1187896,1047176
1714738040000,1648,297856,684088,6672,170536,831208,70520,18752,73712,528,390464,6336,350504,24576,512,1328,3723280,189488,1548776,49608,11880,84960,1275712,352152,1328,66432,1296,528,,23040,1920,1263408,1577416
1714738050000,1648,178096,511104,24168,119080,473792,80840,7440,102096,1968,53088,6336,433424,24576,512,2144,2696496,72512,989864,53112,10800,34016,345024,231984,1328,90368,768,528,,16904,5760,977032,1036528
1714738060000,1472,288552,477568,15288,235568,676448,117800,7440,108032,1440,23712,6336,348200,24576,512,2448,4164832,301696,903160,62592,14040,327896,306848,186016,1328,159776,1536,528,,20800,5760,1047288,1261408
